STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,CITY
1,117,8,26,4,0,7,10577,0
1,1,8,27,0,55,1,10578,0
1,73,8,31,15,43,5,10579,0
1,73,8,16,14,49,4,10580,330
1,81,8,6,2,11,1,10581,200
1,101,8,10,17,23,5,10582,2130
1,125,8,25,20,30,6,10583,0
1,81,8,27,5,2,1,10584,200
1,97,8,30,7,30,4,10585,2100
1,49,8,28,4,15,2,10586,0
1,107,8,29,16,25,3,10587,2458
1,49,8,30,2,24,4,10588,1230
1,9,8,30,9,55,4,10589,0
1,9,8,30,8,15,4,10590,0
1,103,8,30,15,30,4,10591,0
1,73,8,22,13,50,3,10592,350
1,41,8,26,17,20,7,10593,0
1,13,8,27,12,15,1,10594,0
1,3,8,29,7,18,3,10595,0
1,115,8,17,13,15,5,10596,0
1,111,8,7,9,20,2,10597,0
1,121,8,25,14,31,6,10598,1870
1,31,8,31,17,38,5,10599,1030
1,25,8,31,19,15,5,10600,0
1,115,8,22,12,25,3,10601,0
1,89,9,3,1,50,1,10602,0
1,89,9,4,9,55,2,10603,1730
1,101,9,8,15,5,6,10604,0
1,89,9,2,12,10,7,10605,0
1,73,9,5,21,8,3,10606,350
1,73,9,3,13,35,1,10607,350
1,1,9,8,11,40,6,10608,0
1,133,9,8,18,45,6,10609,0
1,43,9,3,19,13,1,10610,0
1,89,9,9,3,0,7,10611,0
1,83,9,4,13,50,2,10612,0
1,15,9,13,10,10,4,10613,0
1,97,9,1,12,15,6,10614,0
1,39,9,7,16,0,5,10615,0
1,129,9,11,15,15,2,10616,0
1,53,9,17,0,5,1,10617,0
1,9,9,14,12,0,5,10618,0
1,81,9,10,2,46,1,10619,0
1,113,9,14,12,0,5,10620,0
1,125,9,15,7,55,6,10621,0
1,69,9,11,8,45,2,10622,0
1,125,9,18,23,55,2,10623,0
1,73,9,17,23,55,1,10624,0
1,1,9,19,17,25,3,10625,0
1,117,9,24,3,30,1,10626,0
1,119,9,9,6,20,7,10627,0
1,53,9,16,23,20,7,10628,0
1,119,9,16,3,20,7,10629,0
1,67,9,23,3,0,7,10630,0
1,113,9,16,18,16,7,10631,0
1,87,9,29,11,20,6,10632,0
1,87,9,22,21,0,6,10633,0
1,37,9,23,9,45,7,10634,0
1,77,9,14,22,50,5,10635,0
1,49,9,19,8,40,3,10636,0
1,15,9,20,13,0,4,10637,0
1,131,9,24,0,30,1,10638,0
1,115,9,26,6,35,3,10639,0
1,117,9,26,15,25,3,10640,0
1,95,9,28,17,58,5,10641,50
1,73,9,30,23,35,7,10642,350
1,113,9,15,14,5,6,10643,0
1,81,9,28,15,35,5,10644,0
1,105,9,23,11,15,7,10645,0
1,97,9,25,15,30,2,10646,0
1,71,9,28,15,0,5,10647,0
1,3,9,13,9,30,4,10648,1210
1,73,9,19,11,57,3,10649,3080
1,121,9,30,4,25,7,10650,0
1,81,9,25,19,45,2,10651,200
1,43,9,27,15,0,4,10652,0
1,25,9,27,11,50,4,10653,0
1,125,9,17,21,55,1,10654,2260
1,125,9,29,1,10,6,10655,3050
1,55,9,14,7,15,5,10656,0
1,41,9,30,0,33,7,10657,0
1,1,9,28,11,30,5,10658,2540
1,81,9,30,1,55,7,10659,200
1,79,9,9,16,5,7,10660,2150
1,101,9,21,20,15,5,10661,2130
1,89,4,2,0,40,1,10662,1970
1,81,6,17,2,11,7,10663,200
1,97,6,14,23,45,4,10664,0
1,83,7,14,7,16,6,10665,0
1,37,7,29,21,20,7,10666,0
1,89,7,13,12,33,5,10667,1730
1,19,8,18,20,15,6,10668,0
1,41,8,20,7,0,1,10669,0
1,123,8,23,11,0,4,10670,60
1,13,8,20,19,15,1,10671,0
1,53,10,2,4,30,2,10672,0
1,17,10,1,22,0,1,10673,0
1,85,10,6,8,39,6,10674,0
1,19,10,2,1,0,2,10675,0
1,27,10,1,0,25,1,10676,0
1,15,10,1,21,50,1,10677,0
1,17,10,2,19,50,2,10678,0
1,15,10,7,18,50,7,10679,0
1,97,10,1,0,5,1,10680,0
1,99,10,6,13,30,6,10681,0
1,89,10,7,21,35,7,10682,0
1,117,10,14,6,45,7,10683,0
1,131,10,8,3,5,1,10684,0
1,85,10,11,13,45,4,10685,0
1,73,10,12,10,30,5,10686,350
1,119,10,6,9,50,6,10687,0
1,3,10,12,5,0,5,10688,0
1,97,10,15,22,4,1,10689,0
1,81,10,6,16,29,6,10690,0
1,81,10,15,1,48,1,10691,0
1,127,10,18,14,55,4,10692,0
1,97,10,7,14,30,7,10693,0
1,97,10,18,2,40,4,10694,0
1,47,10,16,15,40,2,10695,0
1,81,10,14,19,13,7,10696,200
1,59,10,14,8,20,7,10697,0
1,33,10,15,20,58,1,10698,0
1,121,10,15,20,25,1,10699,1870
1,79,10,18,7,25,4,10700,0
1,107,10,22,13,0,1,10701,0
1,77,10,13,20,10,6,10702,0
1,97,10,14,17,15,7,10703,2100
1,109,10,17,15,40,3,10704,0
1,131,10,22,13,25,1,10705,0
1,131,10,28,6,35,7,10706,0
1,17,10,18,16,0,4,10707,0
1,35,10,20,11,0,6,10708,0
1,117,10,16,1,15,2,10709,1716
1,113,10,25,18,0,4,10710,0
1,3,10,23,22,15,2,10711,0
1,59,10,28,0,15,7,10712,0
1,31,10,19,1,40,5,10713,1030
1,43,10,21,23,59,7,10714,0
1,101,10,25,18,50,4,10715,2130
