STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,ST_CASE,CITY
1,73,9,18,22,0,10656,0
1,117,9,19,19,20,10657,0
1,127,9,29,22,55,10658,0
1,93,9,14,10,5,10659,3300
1,73,9,26,16,5,10660,330
1,83,9,29,9,40,10661,0
1,19,9,27,9,30,10662,0
1,19,9,30,15,25,10663,0
1,97,9,24,18,5,10664,2100
1,43,9,1,17,8,10665,830
1,87,9,4,9,40,10666,3070
1,33,9,27,5,28,10667,3060
1,73,9,25,18,35,10668,0
1,89,9,11,14,0,10669,1730
1,73,9,14,7,30,10670,0
1,89,9,12,20,30,10671,1508
1,95,9,10,14,4,10672,400
1,125,9,25,10,16,10673,0
1,73,9,23,19,53,10674,0
1,97,4,30,22,5,10675,2550
1,103,8,13,1,2,10676,890
1,103,8,12,19,51,10677,890
1,49,9,23,21,46,10678,1230
1,23,9,15,18,30,10679,520
1,29,10,3,5,35,10681,0
1,55,10,2,19,40,10682,2587
1,13,10,7,18,40,10683,0
1,121,10,7,6,25,10684,0
1,59,10,5,2,8,10685,0
1,95,10,8,15,10,10686,0
1,21,10,9,13,55,10687,0
1,103,10,3,17,15,10688,0
1,95,10,8,18,0,10689,0
1,97,10,8,11,5,10690,0
1,95,10,9,20,9,10691,0
1,113,10,9,16,10,10692,0
1,97,10,11,20,40,10693,0
1,81,10,5,23,45,10694,0
1,81,10,7,20,15,10695,0
1,125,10,7,15,45,10696,0
1,69,10,8,19,50,10697,0
1,71,10,8,18,50,10698,0
1,113,10,11,15,35,10699,0
1,31,10,15,6,10,10700,0
1,67,10,3,1,40,10701,0
1,79,10,14,23,35,10702,0
1,97,10,6,17,30,10703,0
1,15,10,14,9,30,10704,0
1,29,10,16,15,41,10705,0
1,1,10,20,21,50,10706,0
1,13,10,14,4,15,10707,0
1,3,10,9,5,20,10708,0
1,43,10,16,0,45,10709,0
1,79,10,21,21,0,10710,0
1,73,10,8,5,23,10711,350
1,73,10,8,12,38,10712,350
1,73,10,9,5,14,10713,350
1,115,10,9,12,25,10714,0
1,77,10,23,15,50,10715,0
1,47,10,16,11,40,10716,0
1,15,10,3,3,35,10717,100
1,37,10,10,16,30,10718,0
1,105,10,15,17,35,10719,0
1,13,10,16,15,45,10720,0
1,9,10,23,13,53,10721,2330
1,53,10,23,0,55,10722,0
1,85,10,21,8,30,10723,0
1,81,10,1,20,20,10724,0
1,7,10,23,19,30,10725,0
1,21,10,23,23,40,10726,0
1,123,10,31,4,30,10727,0
1,113,10,7,9,35,10728,0
1,97,10,22,20,5,10729,0
1,91,10,23,19,32,10730,0
1,63,10,24,7,5,10731,0
1,49,10,26,1,30,10732,0
1,15,10,27,22,15,10733,0
1,119,10,30,12,35,10734,0
1,133,10,29,6,8,10735,1530
1,73,10,21,16,37,10736,0
1,79,10,21,18,40,10737,0
1,1,10,22,23,5,10739,0
1,79,10,22,18,32,10740,0
1,81,10,23,17,45,10741,2340
1,125,10,8,16,20,10742,0
1,89,10,13,19,0,10743,1508
1,127,10,25,15,35,10744,0
1,127,10,26,12,20,10745,0
1,83,10,22,14,40,10746,0
1,127,10,25,16,50,10747,0
1,53,10,30,12,0,10748,0
1,99,10,24,19,5,10749,0
1,85,10,28,17,0,10750,3271
1,93,10,25,5,40,10751,0
1,11,10,26,22,40,10752,0
1,11,10,26,22,45,10753,0
1,7,10,15,20,0,10754,0
1,87,10,30,9,57,10755,0
1,17,10,25,8,20,10756,0
1,59,10,16,13,34,10757,2690
1,43,10,29,21,30,10758,0
1,33,10,10,10,55,10759,2190
1,33,10,24,12,19,10760,2190
1,125,10,27,17,0,10761,0
1,73,10,24,20,10,10762,1850
1,83,10,28,19,55,10763,170
1,49,10,30,22,25,10764,2564
1,89,10,19,11,30,10765,2225
1,85,10,31,19,41,10766,3271
1,113,10,9,17,9,10767,2440
1,23,10,28,13,30,10768,0
1,73,10,1,7,20,10769,3080
1,101,10,27,13,13,10770,2130
1,97,10,29,19,35,10771,0
1,103,10,29,18,58,10772,890
1,5,10,16,9,58,10773,227
1,25,10,31,0,31,10774,0
1,123,7,31,5,45,10775,0
1,121,9,14,19,0,10776,2900
1,51,11,2,19,45,10777,0
1,51,11,3,5,40,10778,0
1,13,11,1,8,20,10779,0
1,53,11,2,6,40,10780,0
1,51,11,5,18,5,10781,0
1,73,11,6,17,20,10782,0
1,67,11,1,6,20,10783,0
1,69,11,6,17,58,10784,0
1,83,11,6,17,50,10785,0
1,15,11,13,12,45,10786,2370
1,89,11,5,23,25,10787,0
1,33,11,7,0,50,10788,0
1,55,11,11,13,42,10789,0
1,51,11,12,3,0,10790,0
1,77,11,12,18,20,10791,0
1,85,11,12,8,55,10792,0
1,9,11,3,8,50,10793,0
1,97,11,4,13,0,10794,0
1,25,11,1,17,32,10795,740
1,101,11,6,20,35,10796,0
1,127,11,8,17,30,10797,0
1,73,11,4,9,0,10798,0
1,133,11,6,22,11,10799,0
1,73,11,10,0,55,10800,0
1,127,11,11,17,55,10801,0
1,93,11,12,21,30,10802,0
