STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10440,0,3,8,2013,7,23,30,35,-87
1,10441,0,11,8,2013,1,0,33,33,-85
1,10442,0,12,8,2013,2,18,0,33,-85
1,10443,0,13,8,2013,3,16,10,34,-87
1,10444,0,18,8,2013,1,2,30,32,-86
1,10445,0,18,8,2013,1,4,30,32,-87
1,10446,0,19,8,2013,2,4,35,31,-88
1,10447,330,21,8,2013,4,11,49,33,-87
1,10448,0,25,8,2013,1,2,0,31,-86
1,10449,2960,9,8,2013,6,13,26,34,-87
1,10450,3090,15,8,2013,5,22,41,32,-86
1,10451,60,16,8,2013,6,17,21,33,-86
1,10452,1230,22,2,2013,6,8,52,34,-86
1,10453,350,1,8,2013,5,12,0,34,-87
1,10454,0,26,8,2013,2,16,55,35,-88
1,10455,1970,27,8,2013,3,14,41,35,-87
1,10456,0,29,8,2013,5,9,10,32,-85
1,10457,160,30,8,2013,6,6,54,34,-86
1,10458,0,30,8,2013,6,15,18,34,-88
1,10459,0,30,8,2013,6,21,15,31,-88
1,10460,350,23,8,2013,6,0,30,34,-87
1,10461,0,15,8,2013,5,13,35,31,-88
1,10462,2564,30,8,2013,6,20,18,35,-86
1,10463,0,1,9,2013,1,11,40,33,-85
1,10464,0,1,9,2013,1,16,50,32,-88
1,10465,0,2,9,2013,2,21,32,35,-87
1,10466,2130,3,9,2013,3,13,55,32,-86
1,10467,0,3,9,2013,3,16,35,35,-87
1,10468,0,4,9,2013,4,2,39,34,-86
1,10469,0,4,9,2013,4,14,45,34,-87
1,10470,0,7,9,2013,7,3,30,31,-88
1,10471,0,1,9,2013,1,2,40,32,-86
1,10472,9997,6,9,2013,6,5,40,33,-87
1,10473,655,7,9,2013,7,23,0,33,-87
1,10474,0,9,9,2013,2,7,40,33,-86
1,10475,0,9,9,2013,2,15,30,33,-88
1,10476,0,11,9,2013,4,15,18,33,-87
1,10477,1730,11,9,2013,4,15,29,35,-87
1,10478,2130,11,9,2013,4,17,9,32,-86
1,10479,0,14,9,2013,7,14,25,34,-87
1,10480,0,14,9,2013,7,21,30,31,-87
1,10481,0,16,9,2013,2,15,40,34,-86
1,10482,350,11,8,2013,1,19,43,34,-87
1,10483,350,31,8,2013,7,19,35,34,-87
1,10484,350,15,9,2013,1,3,0,33,-87
1,10485,2325,21,9,2013,7,13,14,34,-86
1,10486,1493,21,9,2013,7,23,55,30,-88
1,10487,2340,1,10,2013,3,7,12,33,-85
1,10488,2130,3,7,2013,4,23,26,32,-86
1,10489,0,8,8,2013,5,9,30,33,-87
1,10490,0,18,8,2013,1,4,40,33,-85
1,10491,0,1,9,2013,1,17,58,34,-87
1,10492,0,2,9,2013,2,21,0,35,-86
1,10493,2100,3,9,2013,3,8,37,31,-88
1,10494,0,8,9,2013,1,19,30,34,-87
1,10495,0,8,9,2013,1,21,18,34,-87
1,10496,0,10,9,2013,3,20,15,34,-87
1,10497,350,9,9,2013,2,12,16,33,-87
1,10498,0,11,9,2013,4,19,40,31,-88
1,10499,0,13,9,2013,6,2,0,33,-87
1,10500,0,13,9,2013,6,18,55,35,-88
1,10501,0,14,9,2013,7,18,30,33,-87
1,10502,0,15,9,2013,1,2,0,34,-87
1,10503,0,16,9,2013,2,1,30,31,-88
1,10504,0,16,9,2013,2,8,5,34,-86
1,10505,0,16,9,2013,2,7,36,33,-87
1,10506,0,17,9,2013,3,5,40,32,-87
1,10507,1210,17,9,2013,3,20,53,30,-88
1,10508,0,19,9,2013,5,12,20,31,-88
1,10509,0,20,9,2013,6,7,15,30,-88
1,10510,9997,21,9,2013,7,18,15,34,-87
1,10511,2910,22,9,2013,1,0,54,33,-86
1,10512,0,24,9,2013,3,19,55,32,-86
1,10513,9997,25,9,2013,4,16,6,35,-87
1,10514,1110,20,7,2013,7,0,25,33,-87
1,10515,700,30,9,2013,2,14,59,33,-87
1,10516,2100,11,9,2013,4,15,0,31,-88
1,10517,3230,16,9,2013,2,6,55,33,-85
